[안양과천 교육지원청 학교시설 개방 업무 통합 매뉴얼]
 
제2장: 학교별 시설 보유 및 개방 현황 (엑셀 데이터)
... 
학교명	개방시설	개방 요일 및 시간	매칭 동호회명	비고
관양초등학교	운동장	토,일,공휴일: 08:00~18:00		
관양초등학교	체육관	평일: 18:30~20:30	참민벗(평일 18:30~20:30)	
귀인초등학교	체육관	"토: 09:00~12:00
토: 13:00~18:00"	턴앤콕(토 13:00~18:00)	
달안초등학교	체육관	"월~금: 19:00~21:00
일: 09:00~12:00
일: 13:00~18:00"	달안배드민턴	
덕천초등학교	체육관	"월~금: 19:00~22:00
일: 09:00~17:00
공휴일: 미개방"	덕천클럽	
명학초등학교	체육관	월~금:18:30~21:30	민턴유치원	
박달초등학교	체육관	"월,수,목,금: 18:00~21:00
일,공휴일: 16:30~21:00"	다온배드민턴	
박달초등학교	체육관	화: 16:30~18:30		
벌말초등학교	운동장	월~금: 18:00~19:00		
범계초등학교	운동장	토~일: 08:00~18:00		
범계초등학교	체육관	월~금: 19:00~21:00	동안클럽	
부림초등학교	운동장	일: 09:00~18:00		
부림초등학교	체육관	월~금: 19:40~21:40	관악클럽	
안양관악초등학교	운동장	일: 15:00~18:00		
안양동초등학교	운동장	일: 08:00~10:00		
안양동초등학교	체육관	월~금: 18:30~21:00		
안양부안초등학교	체육관	월~목: 19:00~21:00	민턴퀸(화 19:00~21:00)	
안양부흥초등학교	체육관	"화~목: 19:00~21:30
토: 13:00~16:00"	부흥클럽(화~목 19:00~21:30)	
안양부흥초등학교	체육관	"화~목: 19:00~21:30
토: 13:00~16:00"	AS MINTON(토 13:00~16:00)	
안양서초등학교	체육관	공휴일: 09:00~18:00	토요민턴	
안양신기초등학교	체육관	월,화,수,금: 18:00~21:00 	안양시장애인배드민턴 협회(수 18:00~21:00)	
안양양지초등학교	운동장	일: 10:00~17:00		
안양양지초등학교	체육관	"월~금:18:00~21:00
일: 10:00~17:00"	청운 배드민턴클럽(월~금 18:00~21:00, 일 14:00~18:00)	
안양양지초등학교	체육관	"월~금:18:00~21:00
일: 10:00~17:00"	엑스파이브(일 09:00~12:00)	
안양양지초등학교	주차장	"월~금:18:00~21:00
일: 10:00~17:00"		
안양중앙초등학교	운동장	일: 08:00~10:00	비산중앙FC	
안양중앙초등학교	체육관	"월~금: 17:00~22:00
일: 08:00~19:00"	에이스클럽(월~금 17:00~22:00, 일 15:00:~19:00)	
안양초등학교	체육관	월~금: 18:30~20:30	안양클럽(19:00 ~ 21:30)	
안일초등학교	체육관	"평일: 18:40~21:40
일요일: 13:00~18:00"	안일클럽	
인덕원초등학교	운동장	월~금: 17:00~19:00		
인덕원초등학교	체육관	월~금: 18:00~21:00		
삼봉초등학교	체육관	"월~금: 18:00~21:00
일: 18:00~21:00"	"안양 피클볼 협회
(월~금: 18:00~21:00, 일 18:00~21:00)"	
삼성초등학교	운동장	"일: 09:00~21:00
월~금: 17:00~21:00"		
